Finding_ID,Status,Security_Category,Check_ID,Check_Name,File_Path,Resource_Type,Resource_Name,Line_Start,Line_End,Remediation_Guidance,Azure_Documentation,Compliance_Framework
AZ-0001,FAILED,Identity & Access,CKV_AZURE_6,Ensure AKS has an API Server Authorized IP Ranges enabled,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azr-kubernetes-3,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0002,FAILED,General Security,CKV_AZURE_8,Ensure Kubernetes Dashboard is disabled,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azr-kubernetes-5,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0003,FAILED,General Security,CKV_AZURE_115,Ensure that AKS enables private clusters,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/ensure-that-aks-enables-private-clusters,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0004,FAILED,Data Protection,CKV_AZURE_227,"Ensure that the AKS cluster encrypt temp disks, caches, and data flows between Compute and Storage resources",\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Secure storage account with proper access policies and encryption.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azure-227,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0005,FAILED,General Security,CKV_AZURE_226,Ensure ephemeral disks are used for OS disks,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azure-226,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0006,FAILED,General Security,CKV_AZURE_170,Ensure that AKS use the Paid Sku for its SLA,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/azr-general-170,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0007,FAILED,General Security,CKV_AZURE_141,Ensure AKS local admin account is disabled,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/ensure-azure-kubernetes-service-aks-local-admin-account-is-disabled,"SOC 2, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0008,FAILED,Logging & Monitoring,CKV_AZURE_4,Ensure AKS logging to Azure Monitoring is Configured,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Enable comprehensive logging and monitoring for security events.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azr-kubernetes-1,"CIS Azure Benchmarks, Azure Security Baseline"
AZ-0009,FAILED,General Security,CKV_AZURE_168,Ensure Azure Kubernetes Cluster (AKS) nodes should use a minimum number of 50 pods.,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review Azure security best practices and implement recommended configuration.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/azr-kubernetes-168,"SOC 2, PCI DSS, CIS Azure Benchmarks, Azure Security Baseline"
AZ-0010,FAILED,Network Security,CKV_AZURE_7,Ensure AKS cluster has Network Policy configured,\aks.tf,azurerm_kubernetes_cluster,azurerm_kubernetes_cluster.k8s_cluster,1,35,Review network security group rules and implement least privilege access.,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-kubernetes-policies/bc-azr-kubernetes-4,"CIS Azure Benchmarks, Azure Security Baseline"
